iter	Passed	Remaining
0	0	774
1	1	710
2	2	668
3	2	652
4	3	644
5	3	626
6	4	621
7	5	636
8	5	628
9	6	624
10	6	622
11	7	620
12	8	612
13	8	611
14	9	609
15	9	606
16	10	600
17	11	601
18	11	598
19	12	602
20	12	598
21	13	597
22	14	596
23	14	594
24	15	592
25	15	590
26	16	590
27	16	587
28	17	585
29	18	589
30	18	586
31	19	583
32	19	583
33	20	582
34	21	580
35	21	578
36	22	576
37	22	574
38	23	573
39	23	571
40	24	572
41	24	569
42	25	568
43	26	569
44	27	574
45	27	573
46	28	572
47	28	571
48	29	569
49	29	568
50	30	567
51	31	569
52	31	567
53	32	565
54	32	566
55	33	566
56	34	566
57	34	564
58	35	563
59	35	562
60	36	561
61	37	560
62	37	561
63	38	559
64	38	559
65	39	558
66	40	558
67	40	558
68	41	557
69	42	558
70	42	560
71	43	558
72	43	558
73	44	559
74	45	559
75	46	561
76	46	562
77	47	567
78	48	568
79	49	568
80	49	567
81	50	570
82	51	565
83	51	564
84	52	563
85	52	562
86	53	562
87	54	562
88	54	562
89	55	561
90	56	560
91	56	559
92	57	560
93	58	562
94	59	564
95	59	563
96	60	562
97	60	560
98	61	558
99	61	557
100	62	556
101	63	554
102	63	553
103	64	551
104	64	549
105	64	548
106	65	546
107	66	545
108	66	544
109	67	543
110	67	541
111	68	540
112	68	538
113	69	537
114	69	535
115	70	535
116	70	533
117	71	531
118	71	530
119	72	530
120	73	530
121	73	530
122	74	529
123	74	528
124	75	527
125	75	526
126	76	525
127	77	524
128	77	523
129	78	522
130	78	521
131	79	520
132	79	519
133	80	518
134	80	517
135	81	516
136	81	514
137	82	513
138	82	512
139	83	514
140	84	513
141	84	511
142	85	509
143	85	508
144	86	507
145	86	506
146	87	506
147	87	505
148	88	505
149	89	504
150	89	503
151	90	503
152	90	503
153	91	502
154	91	501
155	92	500
156	93	499
157	93	498
158	94	497
159	94	496
160	94	494
161	95	493
162	95	492
163	96	494
164	97	493
165	97	492
166	98	492
167	99	491
168	99	490
169	100	489
170	100	488
171	101	486
172	101	486
173	102	484
174	102	484
175	103	484
176	104	483
177	104	483
178	105	483
179	105	482
180	106	481
181	106	480
182	107	479
183	107	478
184	108	477
185	108	476
186	109	475
187	109	474
188	110	473
189	110	472
190	111	471
191	111	471
192	112	470
193	112	469
194	113	468
195	113	467
196	114	466
197	114	465
198	115	464
199	115	463
200	116	463
201	117	463
202	117	462
203	119	466
204	120	465
205	120	465
206	121	464
207	121	463
208	122	462
209	122	461
210	123	461
211	123	460
212	124	459
213	124	458
214	125	457
215	125	456
216	126	456
217	126	455
218	127	454
219	127	453
220	128	452
221	128	451
222	129	450
223	129	450
224	130	449
225	130	448
226	131	447
227	132	447
228	132	446
229	133	445
230	133	445
231	134	445
232	134	444
233	135	443
234	136	442
235	136	442
236	137	441
237	137	441
238	138	440
239	138	439
240	139	439
241	139	438
242	140	437
243	140	436
244	141	435
245	141	434
246	142	434
247	142	433
248	143	432
249	143	431
250	144	431
251	144	430
252	145	429
253	145	428
254	146	428
255	147	427
256	147	426
257	148	425
258	148	425
259	149	424
260	149	423
261	150	423
262	150	422
263	151	421
264	151	421
265	152	420
266	152	419
267	153	418
268	153	418
269	154	417
270	154	416
271	155	415
272	155	415
273	156	414
274	156	413
275	157	413
276	158	412
277	158	411
278	159	410
279	159	410
280	159	409
281	160	408
282	161	407
283	161	407
284	162	406
285	162	405
286	163	405
287	163	404
288	164	404
289	164	403
290	165	402
291	165	402
292	166	401
293	166	400
294	167	399
295	167	399
296	168	398
297	168	397
298	169	397
299	169	396
300	170	395
301	170	394
302	171	394
303	171	393
304	172	392
305	172	391
306	173	391
307	173	390
308	174	389
309	174	388
310	175	388
311	175	387
312	176	387
313	176	386
314	177	385
315	177	385
316	178	384
317	179	384
318	179	383
319	180	382
320	180	382
321	181	381
322	182	381
323	182	381
324	183	380
325	183	379
326	184	379
327	184	378
328	185	377
329	185	376
330	186	376
331	186	375
332	187	374
333	187	374
334	188	373
335	188	372
336	189	372
337	189	371
338	190	371
339	190	370
340	191	369
341	191	369
342	192	368
343	192	367
344	193	367
345	194	367
346	194	366
347	195	366
348	195	365
349	196	364
350	196	364
351	197	363
352	198	362
353	198	362
354	199	361
355	199	361
356	200	360
357	200	360
358	201	359
359	202	359
360	202	358
361	203	358
362	203	357
363	204	357
364	204	356
365	205	355
366	205	355
367	206	354
368	206	353
369	207	353
370	207	352
371	208	351
372	208	351
373	209	350
374	210	350
375	210	349
376	211	348
377	211	348
378	212	347
379	212	346
380	213	346
381	213	345
382	214	344
383	214	344
384	215	343
385	215	342
386	216	342
387	216	341
388	217	341
389	217	340
390	218	339
391	218	339
392	219	338
393	219	338
394	220	337
395	220	336
396	221	336
397	221	335
398	222	335
399	222	334
400	223	333
401	223	333
402	224	332
403	224	331
404	225	331
405	225	330
406	226	330
407	227	329
408	227	328
409	228	328
410	228	327
411	229	326
412	229	326
413	230	325
414	230	325
415	231	324
416	231	323
417	231	323
418	232	322
419	233	321
420	233	321
421	234	320
422	234	319
423	234	319
424	235	318
425	235	317
426	236	317
427	236	316
428	237	315
429	237	315
430	238	314
431	238	314
432	239	313
433	240	313
434	240	312
435	241	312
436	241	311
437	242	311
438	242	310
439	243	309
440	244	309
441	244	308
442	244	308
443	245	307
444	245	306
445	246	306
446	246	305
447	247	304
448	247	304
449	248	303
450	248	303
451	249	302
452	249	301
453	250	301
454	250	300
455	251	300
456	252	299
457	252	298
458	252	298
459	253	297
460	253	296
461	254	296
462	255	295
463	255	295
464	256	294
465	256	294
466	257	293
467	257	292
468	258	292
469	258	291
470	259	291
471	259	290
472	260	289
473	260	289
474	261	288
475	261	287
476	262	287
477	262	286
478	263	286
479	263	285
480	264	285
481	264	284
482	265	283
483	265	283
484	266	282
485	266	282
486	267	281
487	267	280
488	268	280
489	268	279
490	269	278
491	269	278
492	270	277
493	270	277
494	271	276
495	271	276
496	272	275
497	272	274
498	273	274
499	273	273
500	274	273
501	274	272
502	275	271
503	275	271
504	276	270
505	276	270
506	277	269
507	277	268
508	278	268
509	278	267
510	279	267
511	279	266
512	280	266
513	280	265
514	281	264
515	281	264
516	282	263
517	282	263
518	283	262
519	283	261
520	284	261
521	284	260
522	285	260
523	285	259
524	286	258
525	286	258
526	287	257
527	287	257
528	288	256
529	288	255
530	289	255
531	289	254
532	290	254
533	290	253
534	291	253
535	291	252
536	292	251
537	292	251
538	293	250
539	293	250
540	294	249
541	294	248
542	295	248
543	295	247
544	296	247
545	296	246
546	296	245
547	297	245
548	297	244
549	298	244
550	298	243
551	299	242
552	299	242
553	300	241
554	300	241
555	301	240
556	301	240
557	302	239
558	302	238
559	303	238
560	303	237
561	304	237
562	304	236
563	305	236
564	306	235
565	306	235
566	307	234
567	307	233
568	308	233
569	308	232
570	309	232
571	309	231
572	310	231
573	310	230
574	311	230
575	311	229
576	312	228
577	312	228
578	313	227
579	313	227
580	314	226
581	314	225
582	315	225
583	315	224
584	316	224
585	316	223
586	317	223
587	317	222
588	318	221
589	318	221
590	319	220
591	319	220
592	320	219
593	321	219
594	321	218
595	322	218
596	322	217
597	323	217
598	323	216
599	324	216
600	324	215
601	325	215
602	325	214
603	326	214
604	327	213
605	327	212
606	327	212
607	328	211
608	328	211
609	329	210
610	329	210
611	330	209
612	331	208
613	331	208
614	332	207
615	332	207
616	333	206
617	333	206
618	334	205
619	334	205
620	335	204
621	335	203
622	336	203
623	336	202
624	337	202
625	337	201
626	338	201
627	338	200
628	338	199
629	339	199
630	339	198
631	340	198
632	340	197
633	341	197
634	341	196
635	342	195
636	342	195
637	343	194
638	343	194
639	344	193
640	344	193
641	345	192
642	345	191
643	346	191
644	346	190
645	347	190
646	348	189
647	348	189
648	348	188
649	349	188
650	349	187
651	350	187
652	350	186
653	352	186
654	352	185
655	353	185
656	353	184
657	354	184
658	354	183
659	355	183
660	355	182
661	356	181
662	356	181
663	357	180
664	357	180
665	358	179
666	358	179
667	359	178
668	359	178
669	360	177
670	360	176
671	361	176
672	362	176
673	362	175
674	363	174
675	363	174
676	364	173
677	364	173
678	365	172
679	365	172
680	366	171
681	366	171
682	367	170
683	367	169
684	368	169
685	368	168
686	369	168
687	369	167
688	370	167
689	371	166
690	371	166
691	372	165
692	372	165
693	373	164
694	373	163
695	374	163
696	374	162
697	375	162
698	375	161
699	376	161
700	376	160
701	377	160
702	377	159
703	378	159
704	378	158
705	379	158
706	379	157
707	380	156
708	381	156
709	381	155
710	381	155
711	382	154
712	382	154
713	383	153
714	384	153
715	384	152
716	385	151
717	385	151
718	386	151
719	386	150
720	387	149
721	387	149
722	388	148
723	389	148
724	389	147
725	390	147
726	391	147
727	392	146
728	393	146
729	393	145
730	394	145
731	395	144
732	395	144
733	396	143
734	396	143
735	397	142
736	397	142
737	398	141
738	399	141
739	399	140
740	400	139
741	401	139
742	401	138
743	402	138
744	402	137
745	403	137
746	403	136
747	404	136
748	404	135
749	405	135
750	406	134
751	406	134
752	407	133
753	408	133
754	408	132
755	409	132
756	409	131
757	410	131
758	411	130
759	411	129
760	412	129
761	412	128
762	413	128
763	413	127
764	414	127
765	414	126
766	415	126
767	415	125
768	416	125
769	416	124
770	417	124
771	417	123
772	418	122
773	419	122
774	419	121
775	420	121
776	420	120
777	421	120
778	421	119
779	422	119
780	423	118
781	423	118
782	424	117
783	424	117
784	425	116
785	425	115
786	426	115
787	426	114
788	427	114
789	427	113
790	428	113
791	428	112
792	429	112
793	429	111
794	430	111
795	431	110
796	431	109
797	432	109
798	432	108
799	433	108
800	433	107
801	434	107
802	434	106
803	435	106
804	436	105
805	436	105
806	437	104
807	437	104
808	438	103
809	438	102
810	439	102
811	440	101
812	440	101
813	441	100
814	441	100
815	442	99
816	442	99
817	443	98
818	443	98
819	444	97
820	444	96
821	445	96
822	445	95
823	446	95
824	446	94
825	447	94
826	448	93
827	449	93
828	449	92
829	450	92
830	451	91
831	451	91
832	453	90
833	454	90
834	455	90
835	456	89
836	456	88
837	457	88
838	457	87
839	458	87
840	458	86
841	459	86
842	459	85
843	460	85
844	460	84
845	461	83
846	461	83
847	462	82
848	463	82
849	463	81
850	464	81
851	464	80
852	465	80
853	465	79
854	466	79
855	466	78
856	468	78
857	469	77
858	470	77
859	470	76
860	471	76
861	471	75
862	473	75
863	474	74
864	474	74
865	475	73
866	475	72
867	476	72
868	477	71
869	477	71
870	478	70
871	478	70
872	479	69
873	479	69
874	480	68
875	480	68
876	481	67
877	482	66
878	482	66
879	483	65
880	484	65
881	485	64
882	485	64
883	486	63
884	487	63
885	487	62
886	488	62
887	488	61
888	489	61
889	490	60
890	490	60
891	491	59
892	491	58
893	492	58
894	492	57
895	493	57
896	494	56
897	494	56
898	495	55
899	495	55
900	496	54
901	496	53
902	497	53
903	498	52
904	498	52
905	499	51
906	499	51
907	500	50
908	500	50
909	501	49
910	501	49
911	502	48
912	503	47
913	503	47
914	504	46
915	504	46
916	505	45
917	506	45
918	506	44
919	507	44
920	507	43
921	508	43
922	508	42
923	509	41
924	509	41
925	510	40
926	510	40
927	511	39
928	511	39
929	512	38
930	513	38
931	513	37
932	514	36
933	514	36
934	515	35
935	515	35
936	516	34
937	516	34
938	517	33
939	517	33
940	518	32
941	518	31
942	519	31
943	519	30
944	520	30
945	520	29
946	521	29
947	521	28
948	522	28
949	522	27
950	523	26
951	523	26
952	524	25
953	524	25
954	525	24
955	525	24
956	526	23
957	526	23
958	527	22
959	528	22
960	528	21
961	529	20
962	530	20
963	530	19
964	531	19
965	531	18
966	532	18
967	532	17
968	533	17
969	533	16
970	534	15
971	534	15
972	535	14
973	535	14
974	536	13
975	536	13
976	537	12
977	537	12
978	538	11
979	538	10
980	539	10
981	539	9
982	540	9
983	540	8
984	541	8
985	541	7
986	542	7
987	542	6
988	543	6
989	544	5
990	544	4
991	545	4
992	545	3
993	546	3
994	546	2
995	547	2
996	547	1
997	548	1
998	549	0
999	549	0
